Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.068751333,4.11E-05,1.007438951,2.000208126,0.942172544,1.022333957,0.740692823,1.177927851,1.503504717,-11.93666868,-19.12623156,0,-1
B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,0.136807208,0.012840766,5.004808177,9.994332248,1.994210628,1.923123343,3.380107036,4.43338435,3.786779474,-11.80899479,-12.90429571,1,1
A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.035302179,0.031679905,1.0111119,2.005245866,3.209686997,2.994522845,0.999892842,8.11731815,9.057962062,-17.61118424,-6.154435908,2,1
B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,-0.091317039,0.000221686,5.000325642,9.987672705,1.034405396,4.047072842,3.75994518,0.949474586,15.89008742,-2.681495674,-7.471520293,3,3
A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.067129209,0.003340568,1.008229016,2.013611456,2.015214191,0.969513526,0.750878484,4.058777098,1.453782924,-10.71006505,15.40441928,4,3
B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.092964806,0.000528162,5.008994538,10.00606519,3.026827983,1.956432978,4.321577431,9.794762666,3.962106578,-5.071021823,-12.97196104,5,5
A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.177752677,0.01114202,0.976530841,2.011705068,1.204254141,3.016107254,1.249473543,1.010680044,9.368458287,-14.20840467,0.290262304,6,6
B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,0.107703833,0.011168652,5.010102961,9.984236434,1.928781663,3.937719139,3.70620215,3.863307602,14.64267941,-13.77103516,-35.6529225,7,6
A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.022506024,0.000117497,1.007489581,2.01368163,2.920265816,0.824642736,0.693077027,8.018487498,0.709164649,-24.79301167,-3.007469136,8,8
B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.054796168,0.002038949,5.002851124,9.987200118,1.144967131,1.966976934,4.136286731,0.846500165,4.400700117,-21.29416682,-16.74262668,9,9
