x,y,v
Binary Balanced 2,Binary Balanced 1,0.498
Continuous Binary Skewed,Continuous Quaternary Normal,0.6803329458368048
Continuous Binary Skewed,Quaternary Extreme 2,0.00015093830075916249
Continuous Binary Skewed,Continuous Normal,0.0
Continuous Binary Skewed,Continuous Skewed,0.0
Continuous Binary Skewed,Continuous Binary Normal 1,0.6963166239639111
Continuous Binary Skewed,Continuous Binary Normal 2,0.7094377605202942
Continuous Binary Skewed,Continuous Trinary Normal,0.029843226925321265
Continuous Trinary Skewed,Binary Balanced 1,0.017051224252813135
Continuous Binary Skewed,Quaternary Extreme 1a,0.0
Continuous Trinary Skewed,Binary Balanced 2,0.017051224252813135
Continuous Trinary Skewed,Binary Extreme 1a,0.0
Continuous Trinary Skewed,Binary Extreme 1b,0.0
Continuous Trinary Skewed,Binary Extreme 2,0.0
Continuous Trinary Skewed,Trinary Balanced 1,0.6374666978876911
Continuous Trinary Skewed,Trinary Balanced 2,0.6374666978876911
Continuous Binary Skewed,Quaternary Extreme 1b,0.0
Continuous Binary Skewed,Quaternary Skewed 2,0.0
Continuous Binary Normal 2,Trinary Balanced 1,0.0
Continuous Binary Skewed,Trinary Skewed 1b,0.022230258764561053
Continuous Binary Skewed,Binary Extreme 1a,0.0
Continuous Binary Skewed,Binary Extreme 1b,0.0
Continuous Binary Skewed,Binary Extreme 2,0.00303898249017287
Continuous Binary Skewed,Trinary Balanced 1,6.190491989414681e-05
Continuous Binary Skewed,Trinary Balanced 2,6.190491989414681e-05
Continuous Binary Skewed,Trinary Skewed 1a,0.022230258764561053
Continuous Binary Skewed,Trinary Skewed 2,0.007051124518318359
Continuous Binary Skewed,Quaternary Skewed 1b,0.01013228697128853
Continuous Binary Skewed,Trinary Extreme 1a,0.002896320003502036
Continuous Binary Skewed,Trinary Extreme 1b,0.002896320003502036
Continuous Binary Skewed,Trinary Extreme 2,0.004910416865020031
Continuous Binary Skewed,Quaternary Balanced 1,0.22761630125640675
Continuous Binary Skewed,Quaternary Balanced 2,0.22761630125640675
Continuous Binary Skewed,Quaternary Skewed 1a,0.01013228697128853
