,Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
0,A,C,E,H,I,A,D,A,D,H,A,D,H,A,D,H,L,P,H,L,P,-0.06875133296409582,4.113342677268722e-05,1.0074389511245065,2.0002081257799604,0.9421725442254545,1.0223339572918317,0.7406928227632177,1.1779278508272888,1.5035047172931222,-11.936668681985555,-19.12623155771761,0,-1
1,B,D,E,H,I,B,E,A,D,H,A,D,I,B,E,H,L,P,H,L,Q,0.1368072075373173,0.012840765850951851,5.004808176641097,9.994332247586453,1.994210628074568,1.9231233425259566,3.380107035687335,4.433384350180888,3.786779474090415,-11.808994787336813,-12.904295706607964,1,1
2,A,C,E,H,I,C,F,A,D,H,A,D,H,C,F,H,L,P,H,L,R,-0.03530217891037723,0.0316799048465576,1.0111118997159267,2.005245866194225,3.2096869965493693,2.9945228448436887,0.9998928420860431,8.117318150100653,9.057962061722321,-17.611184242184805,-6.1544359077272865,2,1
3,B,D,E,H,I,A,D,A,D,H,A,D,I,D,G,H,L,P,H,L,P,-0.09131703900823664,0.00022168578545706688,5.000325642246802,9.987672705478555,1.0344053961957629,4.0470728424656155,3.759945180200055,0.949474585745929,15.890087416346782,-2.6814956744844123,-7.471520293081555,3,3
4,A,C,E,H,I,B,E,A,D,H,A,D,H,A,D,H,L,P,H,L,Q,0.06712920872572078,0.003340567735158448,1.008229016319724,2.0136114560415375,2.015214190671278,0.969513526233589,0.750878484118633,4.0587770978377735,1.45378292370249,-10.710065053509577,15.404419280087858,4,3
5,B,D,E,H,I,C,F,A,D,H,A,D,I,B,E,H,L,P,H,L,R,-0.09296480622840714,0.0005281618211842727,5.0089945381465,10.006065194538294,3.0268279834232152,1.9564329783518846,4.3215774308951795,9.794762665959775,3.9621065782564315,-5.071021822595105,-12.971961035666556,5,5
6,A,C,E,H,I,A,D,A,D,H,A,D,H,C,F,H,L,P,H,L,P,-0.17775267676778125,0.011142019753433487,0.9765308409830649,2.0117050683252637,1.2042541414483199,3.016107253977808,1.2494735432301223,1.0106800437017638,9.368458286700706,-14.208404669781263,0.2902623037491203,6,6
7,B,D,E,H,I,B,E,A,D,H,A,D,I,D,G,H,L,P,H,L,Q,0.10770383344873938,0.011168651817261722,5.0101029607525644,9.984236433947064,1.9287816633524901,3.937719139383618,3.7062021496773125,3.863307601621396,14.642679408618479,-13.771035156816668,-35.65292249752198,7,6
8,A,C,E,H,I,C,F,A,D,H,A,D,H,A,D,H,L,P,H,L,R,-0.022506023801325485,0.00011749718266021424,1.0074895808745228,2.0136816296040636,2.920265816098314,0.824642735698028,0.6930770272965806,8.018487498359557,0.7091646485927076,-24.793011667199114,-3.007469136429254,8,8
9,B,D,E,H,I,A,D,A,D,H,A,D,I,B,E,H,L,P,H,L,P,-0.054796168236790316,0.0020389487078212158,5.002851123759271,9.987200118322647,1.144967130992168,1.9669769339550884,4.136286730588373,0.8465001650538767,4.400700117214959,-21.294166818157233,-16.742626682809036,9,9
