x,y,v
Binary_Balanced_2,Binary_Balanced_1,1.0
Continuous_Binary_Skewed,Continuous_Quaternary_Normal,0.7016729701268725
Continuous_Binary_Skewed,Quaternary_Extreme_2,4.458162225763155e-05
Continuous_Binary_Skewed,Continuous_Normal,0.0
Continuous_Binary_Skewed,Continuous_Skewed,0.0
Continuous_Binary_Skewed,Continuous_Binary_Normal_1,0.6959560362811246
Continuous_Binary_Skewed,Continuous_Binary_Normal_2,0.7206069507798434
Continuous_Binary_Skewed,Continuous_Trinary_Normal,0.0
Continuous_Trinary_Skewed,Binary_Balanced_1,0.0
Continuous_Binary_Skewed,Quaternary_Extreme_1a,0.00017443151593029188
Continuous_Trinary_Skewed,Binary_Balanced_2,0.0
Continuous_Trinary_Skewed,Binary_Extreme_1a,0.0032851764749961543
Continuous_Trinary_Skewed,Binary_Extreme_1b,0.0032851764749961543
Continuous_Trinary_Skewed,Binary_Extreme_2,0.0013898490165424882
Continuous_Trinary_Skewed,Trinary_Balanced_1,0.6367225522647131
Continuous_Trinary_Skewed,Trinary_Balanced_2,0.6367225522647131
Continuous_Binary_Skewed,Quaternary_Extreme_1b,0.00017443151593029188
Continuous_Binary_Skewed,Quaternary_Skewed_2,0.003866962379559265
Continuous_Binary_Normal_2,Trinary_Balanced_1,0.005557653198831206
Continuous_Binary_Skewed,Trinary_Skewed_1b,0.0
Continuous_Binary_Skewed,Binary_Extreme_1a,0.0
Continuous_Binary_Skewed,Binary_Extreme_1b,0.0
Continuous_Binary_Skewed,Binary_Extreme_2,0.0
Continuous_Binary_Skewed,Trinary_Balanced_1,0.0014531560569435904
Continuous_Binary_Skewed,Trinary_Balanced_2,0.0014531560569435904
Continuous_Binary_Skewed,Trinary_Skewed_1a,0.0
Continuous_Binary_Skewed,Trinary_Skewed_2,0.0
Continuous_Binary_Skewed,Quaternary_Skewed_1b,0.001647599111968064
Continuous_Binary_Skewed,Trinary_Extreme_1a,0.002182408796629111
Continuous_Binary_Skewed,Trinary_Extreme_1b,0.002182408796629111
Continuous_Binary_Skewed,Trinary_Extreme_2,0.002333502560029001
Continuous_Binary_Skewed,Quaternary_Balanced_1,0.20997410445632547
Continuous_Binary_Skewed,Quaternary_Balanced_2,0.20997410445632547
Continuous_Binary_Skewed,Quaternary_Skewed_1a,0.001647599111968064
Continuous_Trinary_Skewed,Trinary_Skewed_1a,0.017363178915131876
Continuous_Trinary_Skewed,Trinary_Skewed_1b,0.017363178915131876
Continuous_Trinary_Skewed,Trinary_Skewed_2,0.01100586768537439
Continuous_Quaternary_Skewed,Trinary_Balanced_2,0.0
Continuous_Quaternary_Skewed,Binary_Balanced_1,0.6933555572960541
Continuous_Quaternary_Skewed,Binary_Balanced_2,0.6933555572960541
Continuous_Quaternary_Skewed,Binary_Extreme_1a,0.005326907312313888
Continuous_Quaternary_Skewed,Binary_Extreme_1b,0.005326907312313888
Continuous_Quaternary_Skewed,Binary_Extreme_2,0.0
Continuous_Quaternary_Skewed,Trinary_Balanced_1,0.0
Continuous_Quaternary_Skewed,Trinary_Skewed_1a,0.00044390894269282405
